"nivel";"ASSUNTOS";"PROCESSOS";"%"
1;"DIREITO PREVIDENCIÁRIO";183,870;65
2;"Benefícios em Espécie (Auxílios, Pensões, Aposentadorias)";78,239;28
2;"RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas";76,846;27
3;"Reajustes e Revisões Específicos";72,262;26
3;"Outros Assuntos Relacionados à RMI";4,584;2
2;"Pedidos Genéricos (Concessão, Conversão, Cumulação etc)";26,924;10
2;"Tempo de Serviço";1,432;1
2;"Outros Assuntos de Direito Previdenciário";429;0
1;"DIREITO TRIBUTÁRIO";44,997;16
2;"Contribuições";32,349;11
2;"Crédito Tributário";9,767;3
2;"Outros Assuntos de Direito Tributário";2,881;1
1;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO";25,276;9
2;"Servidor Público";21,421;8
3;"Reajustes de Remuneração, Proventos ou Pensão";18,142;6
4;"Índice da URV Lei 8.880/1994";16,468;6
4;"Outros Assuntos de Reajuste de Servidores Públicos";1,674;1
3;"Outros Assuntos de Servidores Públicos";3,274;1
2;"Outros Assuntos de Direito Administrativo";3,855;1
1;"OUTROS ASSUNTOS";28,259;10
-1;"TOTAL";282,402;100
